date,BTC,ETH,OKB
2019-12-20,5504.00,135.17,0.6967
2019-12-27,5571.20,132.09,0.6862
2020-01-03,5310.76,131.92,0.6643
2020-01-10,5333.49,112.97,0.6520
2020-01-17,4828.38,116.92,0.6318
2020-01-24,4755.85,136.88,0.7139
2020-01-31,4598.63,136.25,0.7087
2020-02-07,4258.30,119.47,0.5904
2020-02-14,4447.64,123.09,0.5632
2020-02-21,4306.07,118.74,0.6126
2020-02-28,4131.36,135.72,0.5495
2020-03-06,3965.98,119.59,0.5908
2020-03-13,3701.73,110.08,0.5670
2020-03-20,4067.44,111.36,0.5486
2020-03-27,4292.67,113.57,0.7570
2020-04-03,4436.82,134.08,0.8498
2020-04-10,4785.78,134.65,0.7938
2020-04-17,5144.52,137.26,0.8919
2020-04-24,5713.47,152.61,1.0346
2020-05-01,5646.75,157.80,1.1468
2020-05-08,5960.15,195.38,1.2959
2020-05-15,6192.92,198.70,1.5653
2020-05-22,6058.06,200.75,1.4900
2020-05-29,6868.94,230.96,1.5709
2020-06-05,7251.39,227.15,1.6578
2020-06-12,8325.37,228.30,1.9268
2020-06-19,7951.37,276.60,2.2420
2020-06-26,8524.72,278.48,2.8052
2020-07-03,8856.39,269.95,2.6396
2020-07-10,8916.50,301.03,3.0785
2020-07-17,10244.74,306.93,3.3424
2020-07-24,10626.06,315.87,4.0148
2020-07-31,11196.95,382.66,4.8308
2020-08-07,11042.14,427.51,4.3374
2020-08-14,12676.43,377.07,4.8062
2020-08-21,11916.84,440.06,5.6336
2020-08-28,13414.42,420.70,5.5325
2020-09-04,14817.53,435.97,6.0539
2020-09-11,13698.77,444.50,5.5561
2020-09-18,14513.94,448.59,5.1880
2020-09-25,15516.81,486.16,5.6242
2020-10-02,15793.52,473.26,5.8797
2020-10-09,15780.15,518.47,5.7895
2020-10-16,17527.58,522.17,5.6872
2020-10-23,17470.63,529.86,5.9652
2020-10-30,19321.02,522.13,6.0452
2020-11-06,19072.57,546.69,6.1748
2020-11-13,21823.89,606.17,5.8845
2020-11-20,20815.20,613.11,5.5537
2020-11-27,22082.56,576.26,5.7275
2020-12-04,24022.70,630.78,6.2411
2020-12-11,23123.48,671.77,5.3558
2020-12-18,25507.35,595.83,5.9304
2020-12-25,27667.31,699.03,5.6139
2021-01-01,30352.14,822.08,6.1265
2021-01-08,40236.67,1129.07,7.1252
2021-01-15,41810.42,1114.01,7.1005
2021-01-22,44132.36,1106.45,7.5669
2021-01-29,42211.85,1184.33,7.3019
2021-02-05,43535.49,1384.83,9.2334
2021-02-12,48434.31,1483.43,9.8748
2021-02-19,49695.77,1468.16,11.7803
2021-02-26,51337.05,1697.36,10.6821
2021-03-05,53322.08,1570.65,11.9665
2021-03-12,53020.74,1828.57,12.9176
2021-03-19,56856.33,1809.52,15.2610
2021-03-26,58975.72,1980.63,14.6096
2021-04-02,58681.99,2182.85,16.1766
2021-04-09,66956.19,2192.05,17.8407
2021-04-16,63210.74,2352.43,17.8426
2021-04-23,52632.86,2570.57,15.5897
2021-04-30,51278.29,2361.26,15.2064
2021-05-07,42704.92,2587.86,15.0742
2021-05-14,41418.42,2318.36,11.5832
2021-05-21,39118.81,2597.72,12.2520
2021-05-28,36981.76,2803.15,11.8558
2021-06-04,40641.61,2270.24,14.1649
2021-06-11,40804.78,2596.91,11.8335
2021-06-18,42492.16,2890.11,13.2762
2021-06-25,45334.64,2835.65,14.7730
2021-07-02,42861.99,3009.48,16.6469
2021-07-09,43063.88,2916.70,15.2829
2021-07-16,43909.88,3119.08,15.2083
2021-07-23,45152.31,3156.43,18.8298
2021-07-30,47670.03,3492.82,15.1008
2021-08-06,49673.19,3405.98,14.6000
2021-08-13,50800.59,3512.77,18.8169
2021-08-20,53189.50,3450.72,18.0941
2021-08-27,52853.97,3525.88,17.9360
2021-09-03,57232.02,3631.08,21.2488
2021-09-10,54954.27,3911.93,21.2326
2021-09-17,62970.98,3828.26,20.6177
2021-09-24,59790.89,4096.84,20.0932
2021-10-01,57838.19,4636.76,24.6266
2021-10-08,58786.48,4460.56,25.0654
2021-10-15,64082.24,4273.60,24.4987
2021-10-22,63923.65,4785.80,29.1863
2021-10-29,67955.26,4480.53,24.2332
2021-11-05,69033.80,4150.06,24.1060
2021-11-12,67531.26,4424.74,26.3028
2021-11-19,61166.81,3878.19,27.0783
2021-11-26,55616.66,4030.52,27.0875
2021-12-03,54653.07,3862.86,25.4388
2021-12-10,54112.86,3998.28,26.0890
2021-12-17,49361.78,3448.85,22.2395
2021-12-24,43395.03,3116.40,27.0739
2021-12-31,43261.86,3114.85,23.4994
2022-01-07,40900.18,2374.99,25.2323
2022-01-14,36280.14,2628.53,23.2230
2022-01-21,35558.78,2542.66,22.8982
2022-01-28,34658.83,2140.33,22.3838
2022-02-04,32508.26,2465.79,21.4395
2022-02-11,34096.28,2300.94,21.0561
2022-02-18,33888.43,2149.05,21.4608
2022-02-25,34102.82,2241.08,19.0023
2022-03-04,33583.76,2404.45,19.1432
2022-03-11,29977.84,2087.75,17.3575
2022-03-18,30113.81,2050.65,18.9262
2022-03-25,31508.49,1920.39,15.4396
2022-04-01,31062.68,1832.41,18.1726
2022-04-08,30626.25,1987.52,15.2447
2022-04-15,34199.56,1753.02,13.0412
2022-04-22,29834.76,1817.94,14.4565
2022-04-29,30072.72,1718.84,13.0545
2022-05-06,29439.92,1783.17,14.3088
2022-05-13,28426.62,1705.71,12.1730
2022-05-20,25250.96,1585.62,11.5470
2022-05-27,24446.77,1268.29,9.3846
2022-06-03,21152.93,1143.44,10.0416
2022-06-10,20026.97,964.27,7.7190
2022-06-17,18315.54,888.08,7.8551
2022-06-24,18475.73,930.74,9.6531
2022-07-01,20020.10,963.17,9.7904
2022-07-08,16848.45,882.81,9.6519
2022-07-15,18618.25,994.67,8.7371
2022-07-22,16851.72,1035.18,9.5463
2022-07-29,17583.16,994.46,9.7041
2022-08-05,18607.40,1092.60,8.9335
2022-08-12,17776.41,950.42,11.1434
2022-08-19,16870.61,934.63,10.7893
2022-08-26,17035.31,914.44,10.0429
2022-09-02,17922.11,1127.15,10.3760
2022-09-09,16841.58,1089.51,10.6612
2022-09-16,17407.92,1058.99,8.9117
2022-09-23,17196.09,1094.14,10.5528
2022-09-30,16624.70,1017.59,10.3155
2022-10-07,18444.09,1264.43,10.1707
2022-10-14,17319.03,1127.35,10.9395
2022-10-21,15429.35,1140.67,12.9422
2022-10-28,16832.12,1197.40,12.0615
2022-11-04,16174.50,1196.10,11.1050
2022-11-11,17093.75,1193.70,12.3134
2022-11-18,15914.12,1137.51,13.2526
2022-11-25,16627.68,1253.76,13.0827
2022-12-02,17584.52,1393.57,12.6162
2022-12-09,18406.11,1394.04,12.2767
2022-12-16,17533.82,1454.17,14.0280
2022-12-23,18741.72,1328.84,14.1154
2022-12-30,19245.44,1328.52,15.0793
2023-01-06,19732.35,1440.58,15.2286
2023-01-13,22333.72,1498.67,16.1567
2023-01-20,21867.67,1632.10,15.5698
2023-01-27,21077.30,1418.93,19.4526
2023-02-03,23629.59,1760.97,19.7049
2023-02-10,25424.61,1643.99,24.4884
2023-02-17,25149.65,1660.82,22.1046
2023-02-24,23422.27,1645.04,28.7136
2023-03-03,25142.77,1621.23,28.2970
2023-03-10,27678.20,1931.08,29.0811
2023-03-17,26409.84,1899.39,32.2439
2023-03-24,28438.49,1795.05,35.7343
2023-03-31,29646.01,1842.05,41.2972
2023-04-07,28560.33,2005.60,45.5236
2023-04-14,30429.46,2304.86,45.9875
2023-04-21,26584.25,2051.01,47.5827
2023-04-28,29325.91,1879.63,55.5255
2023-05-05,30307.03,2021.04,53.5799
2023-05-12,29126.60,2002.05,48.3599
2023-05-19,32695.12,1690.45,46.5450
2023-05-26,28976.48,1997.59,46.5356
2023-06-02,30230.27,1960.86,48.0413
2023-06-09,30971.08,2056.28,41.7246
2023-06-16,32625.38,2176.82,44.2274
2023-06-23,29116.38,2075.07,38.8303
2023-06-30,32364.40,1896.32,45.9892
2023-07-07,30979.07,1784.74,46.5629
2023-07-14,29821.15,2194.32,42.3445
2023-07-21,31870.17,1898.71,49.9908
2023-07-28,31807.42,1886.53,40.4768
2023-08-04,31064.49,1875.24,39.9776
2023-08-11,32177.16,1893.34,46.4407
2023-08-18,31862.12,1847.88,49.8529
2023-08-25,32774.21,1793.02,52.6372
2023-09-01,33764.31,1789.37,45.1407
2023-09-08,35262.54,1839.82,51.3007
2023-09-15,31810.19,1776.52,47.5290
2023-09-22,36586.81,1751.27,47.4363
2023-09-29,31380.73,1834.73,51.9184
2023-10-06,34092.66,1788.40,51.4780
2023-10-13,35393.19,1973.47,43.2046
2023-10-20,35264.03,1515.04,55.6450
2023-10-27,34850.57,1964.69,56.0059
2023-11-03,36716.30,2069.20,48.8769
2023-11-10,37625.08,1779.28,53.9464
2023-11-17,38840.73,2070.42,55.3170
2023-11-24,42535.93,2161.54,55.3067
2023-12-01,43265.89,2123.17,52.7742
2023-12-08,42874.69,2295.09,52.9143
2023-12-15,46047.99,2263.05,54.9177
2023-12-22,45417.94,2698.38,59.3617
2023-12-29,46742.91,2601.43,55.7350
2024-01-05,46840.76,2673.04,50.9872
2024-01-12,45153.26,2642.59,55.4232
2024-01-19,48040.81,2489.60,40.9142
2024-01-26,53096.92,2710.21,58.2920
2024-02-02,55565.04,3015.25,46.6437
2024-02-09,57072.56,2864.32,53.1629
2024-02-16,60345.23,3364.62,50.4862
2024-02-23,66260.04,3347.39,50.3173
2024-03-01,64968.23,3486.84,61.9332
2024-03-08,71361.35,3892.75,55.2867
2024-03-15,72349.93,3995.49,59.5054
2024-03-22,71690.38,3782.01,57.0980
2024-03-29,74918.78,4106.15,58.9104
2024-04-05,73528.10,3559.35,56.4854
2024-04-12,72899.21,3920.25,49.7947
2024-04-19,73698.29,3885.49,59.4103
2024-04-26,69504.75,3653.02,52.2422
2024-05-03,70778.31,3767.44,47.0757
2024-05-10,67471.65,3389.37,51.4507
2024-05-17,68659.60,3842.33,59.1429
2024-05-24,66872.39,3571.21,55.7866
2024-05-31,66942.03,3471.05,50.2036
2024-06-07,67729.04,3782.88,49.6822
2024-06-14,63441.65,3380.10,49.2817
2024-06-21,70566.45,3205.44,58.4805
2024-06-28,60696.18,3110.58,49.8165
2024-07-05,58328.95,3491.69,48.0227
2024-07-12,62395.32,3038.38,48.3345
2024-07-19,59639.32,3575.94,43.5890
2024-07-26,58513.95,2730.42,40.8097
2024-08-02,58633.05,3340.06,40.5127
2024-08-09,57297.34,2950.72,40.4108
2024-08-16,55394.97,2790.86,40.0111
2024-08-23,57753.91,2615.01,41.9603
2024-08-30,56147.66,2674.32,39.2873
2024-09-06,60086.03,2509.79,40.9205
2024-09-13,57623.13,2591.77,37.8891
2024-09-20,58246.96,2475.23,39.1537
2024-09-27,62548.70,2565.24,34.0095
2024-10-04,67695.29,2574.94,44.5400
2024-10-11,68648.64,2711.80,44.1506
2024-10-18,71530.46,2864.50,47.8852
2024-10-25,78437.23,2622.15,35.6563
2024-11-01,82562.73,2775.45,55.1882
2024-11-08,84440.75,3248.63,48.5869
2024-11-15,89001.39,3253.27,55.1334
2024-11-22,95619.88,3338.77,48.1659
2024-11-29,92065.46,3651.64,56.3480
2024-12-06,94593.07,3969.30,50.3053
2024-12-13,97808.20,3720.00,50.9767
2024-12-20,100427.52,3619.92,60.8366
2024-12-27,103153.11,3798.17,50.7306
2025-01-03,108516.60,3487.74,51.3730
2025-01-10,106633.56,3754.02,52.9552
2025-01-17,103074.63,3244.63,50.3886
2025-01-24,102926.79,3706.58,48.0517
2025-01-31,97157.82,3386.39,47.9397
2025-02-07,99524.87,3153.61,54.6073
2025-02-14,96789.43,3111.90,44.5656
2025-02-21,97570.96,3057.23,44.6331
2025-02-28,91514.43,2777.64,46.7571
2025-03-07,95089.68,2174.72,46.0447
2025-03-14,97279.21,2135.61,45.4324
2025-03-21,89644.98,2107.07,42.7395
2025-03-28,89989.08,2074.51,36.1252
2025-04-04,89510.40,2019.16,44.2777
2025-04-11,84217.33,1759.99,34.7352
2025-04-18,86628.85,1848.76,39.4329
2025-04-25,87433.22,1795.44,37.0820
2025-05-02,89287.17,1860.97,40.1246
2025-05-09,87778.95,1820.01,42.3303
2025-05-16,92229.59,1927.51,43.2956
2025-05-23,95616.61,1928.08,44.6476
2025-05-30,100894.31,2028.24,49.8124
2025-06-06,100812.49,2345.85,46.8717
2025-06-13,107246.75,2144.69,45.4410
2025-06-20,97604.79,2691.56,50.9812
2025-06-27,105943.03,2466.07,53.0280
2025-07-04,105006.16,2489.44,44.8863
2025-07-11,115242.87,2403.66,53.1849
2025-07-18,104569.23,2706.33,54.8502
