date,AAVE,ADA,APT,AR,ARB,AVAX,BTC,DOT,DYDX,ETH,FIL,GALA,JUP,LDO,LINK,POL,NEAR,OKB,ONDO,OP,RENDER,SOL,TAO,TIA,GRAM,TRX,UNI,ZEC,INJ,XLM,LTC,RON,XRP,GLM,BCH,ICP,ETHFI,PENDLE,ONT,BNB,CFG,FET,GT,RAY
2016-07-08,,,,,,,1200.29,,,34.05,,,,,,,,,,,,,,,,,,887.34,,,,,,,,,,,,,,,,
2016-07-15,,,,,,,1243.86,,,36.35,,,,,,,,,,,,,,,,,,820.16,,,,,,,,,,,,,,,,
2016-07-22,,,,,,,1339.3,,,36.88,,,,,,,,,,,,,,,,,,834.79,,,,,,,,,,,,,,,,
2016-07-29,,,,,,,1361.68,,,41.19,,,,,,,,,,,,,,,,,,842.35,,,,,,,,,,,,,,,,
2016-08-05,,,,,,,1433.83,,,38.6,,,,,,,,,,,,,,,,,,832.7,,,,,,,,,,,,,,,,
2016-08-12,,,,,,,1378.08,,,41.25,,,,,,,,,,,,,,,,,,840.1,,,,,,,,,,,,,,,,
2016-08-19,,,,,,,1465.51,,,42.02,,,,,,,,,,,,,,,,,,871.6,,,,,,,,,,,,,,,,
2016-08-26,,,,,,,1500.13,,,44.62,,,,,,,,,,,,,,,,,,940.84,,,,,,,,,,,,,,,,
2016-09-02,,,,,,,1388.12,,,41.37,,,,,,,,,,,,,,,,,,951.65,,,,,,,,,,,,,,,,
2016-09-09,,,,,,,1335.03,,,42.72,,,,,,,,,,,,,,,,,,923.63,,,,,,,,,,,,,,,,
2016-09-16,,,,,,,1380.54,,,41.49,,,,,,,,,,,,,,,,,,945.19,,,,,,,,,,,,,,,,
2016-09-23,,,,,,,1433.68,,,39.42,,,,,,,,,,,,,,,,,,982.33,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,1471.5,,,40.43,,,,,,,,,,,,,,,,,,949.27,,,,,,,,,,,,,,,,
2016-10-07,,,,,,,1491.53,,,39.26,,,,,,,,,,,,,,,,,,904.08,,,,,,,,,,,,,,,,
2016-10-14,,,,,,,1545.89,,,38.43,,,,,,,,,,,,,,,,,,914.67,,,,,,,,,,,,,,,,
2016-10-21,,,,,,,1531.76,,,36.25,,,,,,,,,,,,,,,,,,861.91,,,,,,,,,,,,,,,,
2016-10-28,,,,,,,1556.04,,,34.92,,,,,,,,,,,,,,,,,,852.04,,,,,,,,,,,,,,,,
2016-11-04,,,,,,,1423.88,,,36.07,,,,,,,,,,,,,,,,,,907.69,,,,,,,,,,,,,,,,
2016-11-11,,,,,,,1458.2,,,36.01,,,,,,,,,,,,,,,,,,904.03,,,,,,,,,,,,,,,,
2016-11-18,,,,,,,1479.59,,,36.98,,,,,,,,,,,,,,,,,,930.09,,,,,,,,,,,,,,,,
2016-11-25,,,,,,,1475.62,,,36.22,,,,,,,,,,,,,,,,,,976.97,,,,,,,,,,,,,,,,
2016-12-02,,,,,,,1572.13,,,39.03,,,,,,,,,,,,,,,,,,997.92,,,,,,,,,,,,,,,,
2016-12-09,,,,,,,1646.58,,,44.23,,,,,,,,,,,,,,,,,,1037.73,,,,,,,,,,,,,,,,
2016-12-16,,,,,,,1581.16,,,45.64,,,,,,,,,,,,,,,,,,993.29,,,,,,,,,,,,,,,,
2016-12-23,,,,,,,1521.28,,,45.85,,,,,,,,,,,,,,,,,,1029.71,,,,,,,,,,,,,,,,
2016-12-30,,,,,,,1542.51,,,46.39,,,,,,,,,,,,,,,,,,1106.96,,,,,,,,,,,,,,,,
2017-01-06,,0.03,,,,,1504.66,,,49.34,,,,,0.15,0.01,,,,,,,,,,0.002,,1076.95,,,,,,,,,,,,,,,,
2017-01-13,,0.0359,,,,,1568.07,,,48.64,,,,,0.1626,0.0142,,,,,,,,,,0.00330587,,1067.87,,,,,,,,,,,,,,,,
2017-01-20,,0.0365,,,,,1523.14,,,48.79,,,,,0.2243,0.0213,,,,,,,,,,0.00572263,,1123.56,,,,,,,,,,,,,,,,
2017-01-27,,0.0381,,,,,1439.63,,,51.29,,,,,0.3643,0.0343,,,,,,,,,,0.00597491,,1174.5,,,,,,,,,,,,,,,,
2017-02-03,,0.0379,,,,,1418.95,,,53.79,,,,,0.3489,0.0399,,,,,,,,,,0.00661548,,1198.56,,,,,,,,,,,,,,,,
2017-02-10,,0.037,,,,,1503.72,,,54.72,,,,,0.3799,0.0412,,,,,,,,,,0.00678879,,1223.52,,,,,,,,,,,,,,,,
2017-02-17,,0.0396,,,,,1543.44,,,59.22,,,,,0.3738,0.0443,,,,,,,,,,0.00713976,,1253.66,,,,,,,,,,,,,,,,
2017-02-24,,0.0399,,,,,1424.87,,,50.33,,,,,0.3493,0.0428,,,,,,,,,,0.0070254,,1346.33,,,,,,,,,,,,,,,,
2017-03-03,,0.0446,,,,,1488.68,,,50.86,,,,,0.339,0.0425,,,,,,,,,,0.00705601,,1411.29,,,,,,,,,,,,,,,,
2017-03-10,,0.0433,,,,,1586.79,,,52.22,,,,,0.2916,0.0418,,,,,,,,,,0.00734291,,1468.33,,,,,,,,,,,,,,,,
2017-03-17,,0.0488,,,,,1640.68,,,55.13,,,,,0.3009,0.0446,,,,,,,,,,0.00798231,,1469.08,,,,,,,,,,,,,,,,
2017-03-24,,0.0546,,,,,1742.14,,,59.56,,,,,0.3398,0.0446,,,,,,,,,,0.00786045,,1521.23,,,,,,,,,,,,,,,,
2017-03-31,,0.0648,,,,,1891.73,,,63.26,,,,,0.3281,0.0475,,,,,,,,,,0.00825596,,1687.17,,,,,,,,,,,,,,,,
2017-04-07,,0.0726,,,,,2038.97,,,71.82,,,,,0.3537,0.0495,,,,,,,,,,0.00782072,,1716.49,,,,,,,,,,,,,,,,
2017-04-14,,0.0789,,,,,2143.13,,,73.82,,,,,0.3744,0.0541,,,,,,,,,,0.00886602,,1846.38,,,,,,,,,,,,,,,,
2017-04-21,,0.0865,,,,,2353.01,,,77.55,,,,,0.4107,0.0566,,,,,,,,,,0.0087875,,2032.81,,,,,,,,,,,,,,,,
2017-04-28,,0.0982,,,,,2515.14,,,77.56,,,,,0.429,0.0592,,,,,,,,,,0.00925154,,2259.51,,,,,,,,,,,,,,,,
2017-05-05,,0.1011,,,,,2697.97,,,84.32,,,,,0.4167,0.0646,,,,,,,,,,0.00996244,,2177.53,,,,,,,,,,,,,,,,
2017-05-12,,0.117,,,,,2845.51,,,90.9,,,,,0.4557,0.0734,,,,,,,,,,0.011,,2292.3,,,,,,,,,,,,,,,,
2017-05-19,,0.1273,,,,,3244.06,,,102.18,,,,,0.4716,0.0762,,,,,,,,,,0.0117,,2399.65,,,,,,,,,,,,,,,,
2017-05-26,,0.1355,,,,,3645.36,,,108.34,,,,,0.5402,0.0776,,,,,,,,,,0.0127,,2633.56,,,,,,,,,,,,,,,,
2017-06-02,,0.153,,,,,3904.81,,,111.6,,,,,0.5294,0.0852,,,,,,,,,,0.0118,,2789.1,,,,,,,,,,,,,,,,
2017-06-09,,0.1712,,,,,4146.43,,,113.52,,,,,0.5499,0.0889,,,,,,,,,,0.0123,,2940.3,,,,,,,,,,,,,,,,
2017-06-16,,0.1801,,,,,4143.74,,,111.34,,,,,0.5936,0.0926,,,,,,,,,,0.0126,,3019.05,,,,,,,,,,,,,,,,
2017-06-23,,0.2007,,,,,4164.19,,,116.99,,,,,0.6798,0.0941,,,,,,,,,,0.0139,,3014.22,,,,,,,,,,,,,,,,
2017-06-30,,0.217,,,,,4510.0,,,123.48,,,,,0.6964,0.0939,,,,,,,,,,0.0138,,3112.31,,,,,,,,,,,,,,,,
2017-07-07,,0.2471,,,,,4712.23,,,129.94,,,,,0.7463,0.0971,,,,,,,,,,0.0148,,3281.04,,,,,,,,,,,,,,,,
2017-07-14,,0.2699,,,,,4806.99,,,146.55,,,,,0.7708,0.1021,,,,,,,,,,0.0162,,3253.8,,,,,,,,,,,,,,,,
2017-07-21,,0.2878,,,,,5050.44,,,141.25,,,,,0.7773,0.1037,,,,,,,,,,0.0161,,3416.74,,,,,,,,,,,,,,,,
2017-07-28,,0.3321,,,,,5269.96,,,161.39,,,,,0.9062,0.1074,,,,,,,,,,0.0164,,3538.94,,,,,,,,,,,,,,,,
2017-08-04,,0.3612,,,,,5336.38,,,154.3,,,,,0.8718,0.1077,,,,,,,,,,0.0167,,3728.41,,,,,,,,,,,,,,,,
2017-08-11,,0.4166,,,,,5997.08,,,150.55,,,,,0.9168,0.1134,,,,,,,,,,0.0177,,4030.44,,,,,,,,,,,,,,,,
2017-08-18,,0.4744,,,,,6285.33,,,161.96,,,,,1.05,0.1255,,,,,,,,,,0.0184,,4088.54,,,,,,,,,,,,,,,,
2017-08-25,,0.4986,,,,,6332.04,,,176.66,,,,,1.06,0.1315,,,,,,,,,,0.0186,,4201.21,,,,,,,,,,,,,,,,
2017-09-01,,0.6037,,,,,7182.43,,,169.8,,,,,1.12,0.1326,,,,,,,,,,0.0207,,4535.61,,,,,,,,,,,,,,,,
2017-09-08,,0.7312,,,,,8057.27,,,181.51,,,,,1.27,0.1485,,,,,,,,,,0.0206,,5313.98,,,,,,,,,,,,,,,,
2017-09-15,,0.7726,,,,,8363.04,,,214.88,,,,,1.34,0.1488,,,,,,,,,,0.021,,5713.81,,,,,,,,,,,,,,,,
2017-09-22,,0.8332,,,,,9994.75,,,222.32,,,,,1.5,0.165,,,,,,,,,,0.0237,,6627.99,,,,,,,,,,,,,,,,
2017-09-29,,0.9588,,,,,10695.94,,,245.75,,,,,1.44,0.1846,,,,,,,,,,0.026,,6861.52,,,,,,,,,,,,,,,,
2017-10-06,,1.1,,,,,12114.53,,,265.91,,,,,1.59,0.1971,,,,,,,,,,0.0288,,7895.98,,,,,,,,,,,,,,,,
2017-10-13,,1.42,,,,,13439.34,,,267.61,,,,,1.45,0.2155,,,,,,,,,,0.0314,,7870.11,,,,,,,,,,,,,,,,
2017-10-20,,1.67,,,,,13095.39,,,283.74,,,,,1.65,0.2404,,,,,,,,,,0.0357,,8760.42,,,,,,,,,,,,,,,,
2017-10-27,,1.93,,,,,14851.01,,,281.91,,,,,1.65,0.2766,,,,,,,,,,0.039,,9577.89,,,53.78,,,,,,,,,,,,,
2017-11-03,,2.11,,,,,17910.61,,,331.55,,,,,1.83,0.2999,,,,,,,,,,0.0387,,10428.69,,,57.37,,0.2105,,,,,,,1.49,,,,
2017-11-10,,2.19,,,,,20452.07,,,366.09,,,,,1.97,0.3273,,,,,,,,,,0.0413,,11523.46,,,70.5,,0.2105,,,,,,,1.6,,,,
2017-11-17,,2.42,,,,,20659.7,,,370.18,,,,,2.27,0.3731,,,,,,,,,,0.0452,,11665.26,,,84.92,,0.2105,,,,,,,1.8388,,,,
2017-11-24,,2.87,,,,,21915.06,,,411.76,,,,,2.63,0.4018,,,,,,,,,,0.0476,,13530.86,,,103.11,,0.2105,,,,,,,2.2617,,,,
2017-12-01,,3.11,,,,,23554.73,,,413.59,,,,,2.57,0.4458,,,,,,,,,,0.0487,,13865.69,,,139.82,,0.2105,,,,,,,2.4619,,,,
2017-12-08,,3.34,,,,,24010.42,,,467.8,,,,,2.99,0.4788,,,,,,,,,,0.0523,,15402.6,,,311.4,,0.738,,,,,,,5.999,,,,
2017-12-15,,3.81,,,,,25249.7,,,505.76,,,,,3.51,0.5317,,,,,,,,,,0.0595,,17167.12,,,262.9,,0.89,,,,,,,5.181,,,,
2017-12-22,,3.32,,,,,21904.08,,,435.57,,,,,2.97,0.4999,,,,,,,,,,0.054,,15145.41,,0.35,223.69,,1.914,,,,,,,8.53,,,,
2017-12-29,,2.61,,,,,18966.16,,,356.45,,,,,2.5,0.4366,,,,,,,,,,0.048,,13252.26,,0.7614,269.01,,2.7667,,,,,,,18.594,,,,
2018-01-05,,2.26,,,,,17228.59,,,303.86,,,,,2.16,0.344,,1.0,,,,,,,1.5,0.0404,,12072.21,,0.56,234.12,,1.7302,,,,,,,20.4541,,,,
2018-01-12,,1.73,,,,,15249.94,,,256.77,,,,,1.69,0.3045,,1.34,,,,,,,1.86,0.0351,,10633.22,,0.4514,190.16,,1.3599,,,,,,,14.1334,,,,
2018-01-19,,1.28,,,,,13248.23,,,215.07,,,,,1.46,0.2751,,1.42,,,,,,,2.08,0.0321,,8484.48,,0.6125,196.74,,1.2576,,,,,,,13.7739,,,,
2018-01-26,,1.04,,,,,12000.38,,,182.32,,,,,1.25,0.227,,1.9,,,,,,,2.39,0.0226,,6873.1,,0.4131,147.09,,0.8856,,,,,,,8.3511,,,,
2018-02-02,,0.9062,,,,,10647.21,,,149.09,,,,,1.1,0.1846,,1.51,,,,,,,1.78,0.0187,,5938.93,,0.3829,148.28,,1.0122,,,,,,,8.674,,,,
2018-02-09,,0.8668,,,,,10389.42,,,144.69,,,,,1.07,0.1839,,1.45,,,,,,,1.53,0.0188,,5452.03,,0.4381,213.66,,1.0893,,,,,,,10.6631,,,,
2018-02-16,,0.8259,,,,,9451.65,,,135.63,,,,,1.0,0.1797,,1.29,,,,,,,1.46,0.0191,,5009.13,,0.3347,217.78,,0.8874,,,,,,,9.35,,,,
2018-02-23,,0.8091,,,,,9461.84,,,114.79,,,,,0.9362,0.1469,,1.3,,,,,,,1.44,0.0199,,4499.12,,0.3525,213.19,,0.9186,,,,,,,10.4139,,,,
2018-03-02,,0.7976,,,,,9518.65,,,109.05,,,,,0.9373,0.15,,1.1,,,,,,,1.29,0.0191,,4382.96,,0.2951,188.16,,0.7893,,,,,,,8.268,,,,
2018-03-09,,0.7389,,,,,9673.48,,,106.32,,,,,0.8394,0.1535,,1.12,,,,,,,1.23,0.02,,4173.01,,0.1763,153.5,,0.5457,,,,,,1.009,8.9648,,,,
2018-03-16,,0.6589,,,,,8777.9,,,102.6,,,,,0.8205,0.1578,,1.11,,,,,,,1.22,0.0198,,4021.84,,0.2321,160.01,,0.6278,,,,,,1.3736,12.95,,,,
2018-03-23,,0.6316,,,,,8659.67,,,98.99,,,,,0.7012,0.1571,,1.06,,,,,,,1.2,0.0206,,4037.32,,0.1896,114.74,,0.4597,,,,,,1.809,11.0767,,,,
2018-03-30,,0.6119,,,,,8173.39,,,92.88,,,,,0.6793,0.1661,,1.05,,,,,,,1.09,0.0193,,4017.42,,0.2066,117.55,,0.4973,,,,,,3.55,12.1311,,,,
2018-04-06,,0.6053,,,,,8079.95,,,85.34,,,,,0.6444,0.1579,,1.1,,,,,,,1.07,0.0177,,4018.48,,0.2875,132.45,,0.6728,,,,,,4.5,13.0989,,,,
2018-04-13,,0.6163,,,,,7726.33,,,84.4,,,,,0.611,0.1592,,0.9507,,,,,,,0.979,0.0177,,4035.18,,0.3814,146.38,,0.8864,,,,,,4.1925,12.8888,,,,
2018-04-20,,0.6566,,,,,7697.97,,,79.76,,,,,0.573,0.1689,,1.03,,,,,,,1.02,0.0172,,4161.84,,0.4445,153.5,,0.8584,,,,,,8.33,15.0489,,,,
2018-04-27,,0.683,,,,,8047.85,,,84.43,,,,,0.595,0.1582,,0.9147,,,,,,,1.04,0.0169,,4259.67,,0.4112,172.32,,0.86483,,,,,,8.9329,14.012,,,,
2018-05-04,,0.6358,,,,,8487.08,,,83.38,,,,,0.5491,0.1505,,0.952,,,,,,,1.07,0.0184,,4202.02,,0.3628,144.24,,0.72999,,,,,,8.542,13.1515,,,,
2018-05-11,,0.6367,,,,,9098.28,,,79.38,,,,,0.5773,0.1489,,0.986,,,,,,,0.9542,0.0183,,3914.61,,0.3222,139.64,,0.6994,,,,,,7.4354,14.1666,,,,
2018-05-18,,0.6813,,,,,9277.22,,,81.23,,,,,0.5647,0.145,,0.9849,,,,,,,0.9353,0.0181,,3977.65,,0.2743,117.71,,0.60416,,,,,,6.5454,12.6046,,,,
2018-05-25,,0.6885,,,,,8979.97,,,88.57,,,,,0.5922,0.1445,,0.9929,,,,,,,0.9223,0.0166,,4055.8,,0.30405,125.33,,0.6901,,,,,,8.3151,14.6995,,,,
2018-06-01,,0.6519,,,,,9211.66,,,85.55,,,,,0.5829,0.1496,,0.9449,,,,,,,0.9531,0.0161,,3969.57,,0.24402,106.48,,0.58201,,,,,,7.33,14.18,,,,
2018-06-08,,0.6393,,,,,8877.47,,,80.54,,,,,0.5801,0.1449,,1.02,,,,,,,0.9559,0.0166,,3876.26,,0.22814,94.95,,0.52617,,,,,,6.1466,16.5987,,,,
2018-06-15,,0.6719,,,,,8633.8,,,76.79,,,,,0.5728,0.1377,,0.9743,,,,,,,0.892,0.0161,,4205.76,,0.19277,80.37,,0.47331,,,,,,4.3262,14.4174,,,,
2018-06-22,,0.7197,,,,,8506.95,,,81.81,,,,,0.5551,0.1444,,0.9789,,,,,,,0.9085,0.0157,,3917.12,,0.19989,79.95,,0.46222,,,,,,5.1315,14.37,,,,
2018-06-29,,0.7503,,,,,8741.42,,,77.58,,,,,0.5485,0.1501,,0.8841,,,,,,,1.0,0.0159,,4025.95,,0.21033,82.22,,0.47915,,,,,,4.602,14.01,,,,
2018-07-06,,0.7484,,,,,8960.14,,,76.53,,,,,0.5246,0.1338,,0.8674,,,,,,,0.9884,0.0152,,4063.59,,0.22118,78.54,,0.44681,,,,,,3.53,12.321,,,,
2018-07-13,,0.7004,,,,,8334.01,,,76.17,,,,,0.484,0.1302,,0.7847,,,,,,,0.917,0.014,,3981.62,,0.2831,82.21,,0.44859,,,,,,3.4643,12.1885,,,,
2018-07-20,,0.6497,,,,,8012.44,,,69.52,,,,,0.4852,0.1324,,0.7727,,,,,,,0.7437,0.0133,,4073.74,,0.30793,83.85,,0.45315,,,,,,3.3485,13.9569,,,,
2018-07-27,,0.6258,,,,,7307.27,,,65.04,,,,,0.4389,0.124,,0.7295,,,,,,,0.7467,0.0121,,4246.5,,0.2431,74.61,,0.4345,,,,,,2.3323,13.64,,,,
2018-08-03,,0.6229,,,,,6770.79,,,63.58,,,,,0.4358,0.1298,,0.6597,,,,,,,0.7214,0.0097413,,3717.98,,0.22344,59.32,,0.29547,,,,,,1.4763,11.7999,,,,
2018-08-10,,0.6366,,,,,7060.05,,,66.2,,,,,0.4225,0.1063,,0.667,,,,,,,0.6175,0.00973538,,3462.29,,0.22785,57.67,,0.34201,,,,,,2.4097,10.1388,,,,
2018-08-17,,0.6124,,,,,6848.59,,,61.57,,,,,0.3987,0.1084,,0.69,,,,,,,0.6383,0.00972696,,3453.48,,0.213,56.99,,0.32276,,,,,,2.3136,10.2158,,,,
2018-08-24,,0.6258,,,,,6372.91,,,55.51,,,,,0.3658,0.0974,,0.6773,,,,,,,0.6618,0.00897845,,3518.39,,0.226,66.21,,0.34253,,,,,,2.4687,11.3684,,,,
2018-08-31,,0.6147,,,,,5605.14,,,51.43,,,,,0.3846,0.0949,,0.6934,,,,,,,0.6024,0.00896024,,3108.32,,0.19024,54.74,,0.2766,,,,,,1.9092,9.5399,,,,
2018-09-07,,0.6115,,,,,5676.75,,,51.28,,,,,0.3786,0.0865,,0.6658,,,,,,,0.5609,0.00900683,,3026.95,,0.2058,56.75,,0.28122,,,,,,1.8088,9.9399,,,,
2018-09-14,,0.5927,,,,,5781.91,,,49.43,,,,,0.3914,0.0808,,0.6311,,,,,,,0.5136,0.00872424,,2992.87,,0.28163,61.38,,0.5719,,,,,,2.0326,10.2907,,,,
2018-09-21,,0.5634,,,,,5198.93,,,40.2,,,,,0.3692,0.0662,,0.6175,,,,,,,0.5139,0.00810237,,2714.35,,0.2599,61.21,,0.58257,,,,,,1.9949,10.0172,,,,
2018-09-28,,0.519,,,,,5347.84,,,38.78,,,,,0.3536,0.0678,,0.623,,,,,,,0.5052,0.00755515,,2723.5,,0.24535,58.33,,0.48269,,,,,,1.9286,10.5852,,,,
2018-10-05,,0.4624,,,,,4765.31,,,34.92,,,,,0.3549,0.0649,,0.5999,,,,,,,0.5003,0.00748867,,2407.42,,0.21102,52.61,,0.40994,,,,,,1.8375,9.5895,,,,
2018-10-12,,0.4021,,,,,4314.98,,,32.17,,,,,0.3276,0.0646,,0.5335,,,,,,,0.4938,0.00759803,,2378.64,,0.24731,53.61,,0.46458,,,,,,1.8801,9.9311,,,,
2018-10-19,,0.4147,,,,,4394.09,,,29.17,,,,,0.3293,0.0596,,0.5231,,,,,,,0.4199,0.00748129,,2327.31,,0.23453,52.07,,0.46472,,,,,,1.7785,9.7207,,,,
2018-10-26,,0.4085,,,,,4383.02,,,28.71,,,,,0.3019,0.0585,,0.5297,,,,,,,0.4006,0.0073051,,2347.14,,0.24596,54.6,,0.46999,,,,,,1.7245,9.819,,,,
2018-11-02,,0.3268,,,,,4196.38,,,28.23,,,,,0.3015,0.0533,,0.5059,,,,,,,0.3729,0.00717625,,2281.59,,0.27712,51.46,,0.51019,,,,,,1.6116,9.5611,,,,
2018-11-09,,0.3338,,,,,3972.91,,,27.31,,,,,0.289,0.0527,,0.4637,,,,,,,0.371,0.00685295,,2094.95,,0.25333,42.61,,0.51611,,,,,,1.3446,8.0832,,,,
2018-11-16,,0.2977,,,,,4082.05,,,25.08,,,,,0.2835,0.0479,,0.4604,,,,,,,0.3207,0.00680313,,2008.58,,0.16293,31.49,,0.382,,171.63,,,,0.8323,5.2873,,,,
2018-11-23,,0.3023,,,,,4078.58,,,23.71,,,,,0.2669,0.0433,,0.4705,,,,,,,0.2992,0.00654155,,1897.69,,0.16101,33.82,,0.36963,,171.2,,,,0.8556,5.2888,,,,
2018-11-30,,0.2395,,,,,3894.33,,,24.28,,,,,0.2651,0.0394,,0.461,,,,,,,0.2928,0.00673466,,1889.98,,0.12121,25.37,,0.30914,,106.6,,,,0.573,4.7693,,,,
2018-12-07,,0.2476,,,,,3790.81,,,22.88,,,,,0.1944,0.0391,,0.4503,,,,,,,0.2958,0.00612562,,1854.75,,0.09569,25.52,,0.28669,,80.07,,,,0.4544,4.616,,,,
2018-12-14,,0.2503,,,,,3988.08,,,22.1,,,,,0.1866,0.0389,,0.4144,,,,,,,0.26,0.00558736,,1820.21,,0.12454,32.97,,0.3669,,192.43,,,,0.7193,5.959,,,,
2018-12-21,,0.2311,,,,,4376.94,,,20.82,,,,,0.1891,0.04,,0.3715,,,,,,,0.287,0.00569606,,1951.3,,0.11556,31.38,,0.36489,,158.83,,,,0.6031,5.8939,,,,
2018-12-28,,0.2388,,,,,4223.76,,,20.5,,,,,0.2042,0.0461,,0.4071,,,,,,,0.2914,0.00608903,,1988.76,,0.11871,38.3,,0.36042,,158.02,,,,0.6233,6.2688,,,,
2019-01-04,,0.2371,,,,,4324.41,,,21.17,,,,,0.2011,0.0483,,0.4469,,,,,,,0.2825,0.00604273,,2042.2,,0.10102,29.59,,0.31132,,128.02,,,,0.585,5.4688,,,,
2019-01-11,,0.2506,,,,,4410.55,,,22.12,,,,,0.2059,0.0501,,0.4632,,,,,,,0.2985,0.00606698,,2124.59,,0.10289,30.64,,0.3168,,121.37,,,,0.5807,6.4008,,,,
2019-01-18,,0.2747,,,,,4217.24,,,22.74,,,,,0.2126,0.0528,,0.4704,,,,,,,0.3165,0.00629911,,2290.11,,0.0943,32.21,,0.30646,,122.08,,,,0.5923,7.0396,,,,
2019-01-25,,0.2645,,,,,4208.28,,,21.95,,,,,0.2391,0.0535,,0.54,,,,,,,0.3291,0.00682367,,2296.49,,0.08012,33.44,,0.30219,,118.01,,,,0.5381,6.7887,,,,
2019-02-01,,0.2751,,,,,4338.4,,,21.92,,,,,0.2443,0.0552,,0.4805,,,,,,,0.361,0.00676369,,2415.92,,0.08022,46.79,,0.30988,,121.6,,,,0.5684,9.1697,,,,
2019-02-08,,0.2812,,,,,4753.23,,,23.41,,,,,0.2652,0.0595,,0.4897,,,,,,,0.3481,0.00722414,,2507.9,,0.07964,43.91,,0.30318,,121.17,,,,0.6394,9.22,,,,
2019-02-15,,0.293,,,,,5030.16,,,24.34,,,,,0.2803,0.0627,,0.4929,,,,,,,0.3813,0.0075343,,2428.02,,0.08185,43.75,,0.29757,,132.8,,,,0.9134,9.9476,,,,
2019-02-22,,0.3246,,,,,5394.87,,,24.07,,,,,0.2604,0.0622,,0.5143,,,,,,,0.4153,0.00791066,,2354.99,,0.0875,47.86,,0.31114,,130.22,,,,0.8794,11.4511,,0.3639,,
