现有 0 列 | 待抓 81
  1/81 7203.T        丰田汽车          329周 1999-05-31~2026-09-09
 36/81 2330.TW       台积电           321周 2000-01-31~2026-09-09
 37/81 2454.TW       联发科           303周 2001-07-31~2026-09-09
 38/81 2317.TW       鸿海            405周 1993-01-31~2026-09-09
 39/81 2382.TW       广达            321周 2000-01-31~2026-09-09
 40/81 3711.TW       日月光           321周 2000-01-31~2026-09-09
 41/81 2308.TW       台达电           321周 2000-01-31~2026-09-09
 42/81 2882.TW       国泰金           321周 2000-01-31~2026-09-09
 43/81 1301.TW       台塑            321周 2000-01-31~2026-09-09
 44/81 3008.TW       大立光           295周 2002-03-31~2026-09-09
 45/81 2379.TW       瑞昱            321周 2000-01-31~2026-09-09
 46/81 2408.TW       南亚科           314周 2000-08-31~2026-09-09
 47/81 2303.TW       联电            321周 2000-01-31~2026-09-09
 48/81 ASML.AS       ASML          339周 1998-07-31~2026-09-09
 49/81 MC.PA         LVMH          321周 2000-01-31~2026-09-09
 50/81 SAP.DE        SAP           342周 1998-04-30~2026-09-09
E:\xmanbian\mx_auto_strategy_repo\markets\commodity\fetch_yahoo_global.py:109: Pandas4Warning: Sorting by default when concatenating all DatetimeIndex is deprecated.  In the future, pandas will respect the default of `sort=False`. Specify `sort=True` or `sort=False` to silence this message. If you see this warnings when not directly calling concat, report a bug to pandas.
  panel = pd.concat([panel, pd.DataFrame(ok).sort_index()], axis=1)
  --- 阶段存盘: 50 列 ---
 51/81 NOVO-B.CO     诺和诺德          309周 2001-01-31~2026-09-09
 52/81 NESN.SW       雀巢            441周 1990-01-31~2026-09-09
 53/81 SIE.DE        西门子           359周 1996-11-30~2026-09-09
 54/81 ALV.DE        安联            358周 1996-12-31~2026-09-09
 55/81 SAN.MC        桑坦德           321周 2000-01-31~2026-09-09
 56/81 TTE.PA        道达尔           321周 2000-01-31~2026-09-09
 57/81 OR.PA         欧莱雅           321周 2000-01-31~2026-09-09
 58/81 AIR.PA        空客            301周 2001-09-30~2026-09-09
 59/81 SU.PA         施耐德           321周 2000-01-31~2026-09-09
 60/81 NOKIA.HE      诺基亚           321周 2000-01-31~2026-09-09
 61/81 VOLV-B.ST     沃尔沃           321周 2000-01-31~2026-09-09
 62/81 AZN.L         阿斯利康          401周 1993-05-31~2026-09-09
 63/81 SHEL.L        壳牌            362周 1996-08-31~2026-09-09
 64/81 HSBA.L        汇丰            154周 1988-06-30~2026-09-09
 65/81 ULVR.L        联合利华          154周 1988-06-30~2026-09-09
 66/81 RIO.L         力拓            154周 1988-06-30~2026-09-09
 67/81 GLEN.L        嘉能可           185周 2011-05-31~2026-09-09
 68/81 RELIANCE.NS   信实工业          370周 1995-12-31~2026-09-09
 69/81 TCS.NS        塔塔咨询          290周 2002-08-31~2026-09-09
 70/81 HDFCBANK.NS   HDFC银行        370周 1995-12-31~2026-09-09
 71/81 INFY.NS       Infosys       370周 1995-12-31~2026-09-09
 72/81 BHP.AX        必和必拓          156周 1987-12-31~2026-09-09
 73/81 RIO.AX        力拓澳           156周 1987-12-31~2026-09-09
 74/81 CBA.AX        澳联邦银行         421周 1991-09-30~2026-09-09
 75/81 VALE          淡水河谷          295周 2002-04-01~2026-09-09
E:\xmanbian\mx_auto_strategy_repo\markets\commodity\fetch_yahoo_global.py:109: Pandas4Warning: Sorting by default when concatenating all DatetimeIndex is deprecated.  In the future, pandas will respect the default of `sort=False`. Specify `sort=True` or `sort=False` to silence this message. If you see this warnings when not directly calling concat, report a bug to pandas.
  panel = pd.concat([panel, pd.DataFrame(ok).sort_index()], axis=1)
  --- 阶段存盘: 75 列 ---
 76/81 PBR           巴西石油          314周 2000-09-01~2026-09-09
 77/81 SHOP.TO       Shopify       137周 2015-06-01~2026-09-09
 78/81 RY.TO         加拿大皇家银行       381周 1995-02-01~2026-09-09
 79/81 TSM           台积电ADR        348周 1997-11-01~2026-09-09
 80/81 TM            丰田ADR         169周 1984-12-01~2026-09-09
 81/81 SONY          索尼ADR         216周 1973-02-01~2026-09-09
E:\xmanbian\mx_auto_strategy_repo\markets\commodity\fetch_yahoo_global.py:117: Pandas4Warning: Sorting by default when concatenating all DatetimeIndex is deprecated.  In the future, pandas will respect the default of `sort=False`. Specify `sort=True` or `sort=False` to silence this message. If you see this warnings when not directly calling concat, report a bug to pandas.
  panel = pd.concat([panel, pd.DataFrame(ok).sort_index()], axis=1)

成功 81 / 失败 0
Yahoo全球面板: (3269, 81)
